source,target,relation
知识图谱,图谱,
知识图谱,语义,
知识图谱,实体,
知识图谱,属性,
知识图谱,关系,
知识图谱,知识表示,
知识图谱,三元组,
知识图谱,本体,
知识图谱,语义网络,
知识图谱,知识图谱构建,
知识图谱,知识提取,
知识图谱,知识抽取,
知识图谱,知识融合,
知识图谱,知识推理,
知识图谱,知识查询,
知识图谱,知识补全,
知识图谱,知识更新,
知识图谱,知识管理,
知识图谱,知识表示学习,
知识图谱,图数据库,
知识图谱,知识推荐,
知识图谱,图计算,
知识图谱,知识挖掘,
知识图谱,语义相似度,
知识图谱,语义搜索,
知识图谱,语义解析,
知识图谱,本体学习,
知识图谱,本体匹配,
知识图谱,本体对齐,
知识图谱,实体链接,
知识图谱,实体消歧,
知识图谱,实体关系抽取,
知识图谱,语义标注,
知识图谱,语义关系,
知识图谱,语义推理,
知识图谱,语义映射,
知识图谱,语义聚类,
知识图谱,知识共享,
知识图谱,语义互操作性,
知识图谱,语义标准,
知识图谱,知识图谱应用,
知识图谱,人工智能,
知识图谱,自然语言处理,
知识图谱,机器学习,
知识图谱,数据挖掘,
知识图谱,网络关系,
知识图谱,数据集,
知识图谱,数据搜索,
知识图谱,数据分析,
知识图谱,数据集成,
知识图谱,数据共享,
知识图谱,数据可视化,
知识图谱,数据管理,
知识图谱,数据质量,
知识图谱,数据处理,
知识图谱,数据结构,
知识图谱,数据建模,
知识图谱,网络语义,
知识图谱,网络推理,
知识图谱,网络搜索,
知识图谱,网络关联,
知识图谱,网络挖掘,
知识图谱,网络标识,
知识图谱,开放数据,
知识图谱,信息抽取,
知识图谱,信息检索,
知识图谱,信息管理,
知识图谱,分布式知识图谱,
知识图谱,规则引擎,
知识图谱,知识表达,
知识图谱,知识工程,
知识图谱,知识获取,
知识图谱,知识基础,
知识图谱,知识组织,
知识图谱,知识模型,
知识图谱,行业知识图谱,
知识图谱,社交知识图谱,
知识图谱,医疗知识图谱,
知识图谱,科学知识图谱,
知识图谱,金融知识图谱,
知识图谱,交通知识图谱,
知识图谱,智能城市,
知识图谱,自动驾驶,
知识图谱,智能推荐,
知识图谱,智能问答,
知识图谱,人机对话,
知识图谱,智能助手,
知识图谱,语音识别,
知识图谱,图像识别,
知识图谱,知识图谱可视化,
知识图谱,知识图谱推理,
知识图谱,知识图谱存储,
知识图谱,知识图谱验证,
知识图谱,知识图谱评估,
知识图谱,知识图谱质量,
知识图谱,开放知识图谱,
知识图谱,大规模知识图谱,
知识图谱,链接数据,
知识图谱,知识图谱标准,
知识图谱,大数据,
